headword,pronunciation,Pron
encruelecer,e ŋ k ɾ w e l e ˈ s e ɾ,e ŋ k ɾ w e l e s E ɾ
encruelecer,e ŋ k ɾ w e l e ˈ θ e ɾ,e ŋ k ɾ w e l e θ E ɾ
encruelecerse,e ŋ k ɾ w e l e ˈ s e ɾ,e ŋ k ɾ w e l e s E ɾ
encruelecerse,e ŋ k ɾ w e l e ˈ θ e ɾ,e ŋ k ɾ w e l e θ E ɾ
encuadernando,ˈ a n̪ d o,A n̪ d o
encuadernar,e n k w a ð e ɾ ˈ n a ɾ,e n k w a ð e ɾ n A ɾ
encuadrando,ˈ a n̪ d o,A n̪ d o
encuadrar,e n k w a ˈ ð ɾ a ɾ,e n k w a ð ɾ A ɾ
encubertar,e n k u β e ɾ ˈ t a ɾ,e n k u β e ɾ t A ɾ
encubrir,e ŋ k u ˈ β ɾ i ɾ,e ŋ k u β ɾ I ɾ
encuclillarse,e ŋ k u k l i ˈ ʎ a ɾ s e,e ŋ k u k l i ʎ A ɾ s e
encuclillarse,e ŋ k u k l i ˈ ʝ a ɾ s e,e ŋ k u k l i ʝ A ɾ s e
encuentro,e ŋ ˈ k w e n t ɾ o,e ŋ k w E n t ɾ o
encueraren,e ŋ k w e ˈ ɾ a ɾ e n,e ŋ k w e ɾ A ɾ e n
encuesta,e ŋ ˈ k w e s t a,e ŋ k w E s t a
encuestando,ˈ a n̪ d o,A n̪ d o
encuestar,e ŋ k w e s ˈ t a ɾ,e ŋ k w e s t A ɾ
encuetéis,e ŋ k w e ˈ t e j s,e ŋ k w e t E j s
encuitado,e ŋ k w i ˈ t a ð o,e ŋ k w i t A ð o
encuitarse,e ŋ k w i ˈ t a ɾ s e,e ŋ k w i t A ɾ s e
encuitáis,e ŋ k w i ˈ t a j s,e ŋ k w i t A j s
encumbrando,ˈ a n̪ d o,A n̪ d o
encumbrar,e n k u m ˈ b ɾ a ɾ,e n k u m b ɾ A ɾ
encumbrarse,e n k u m ˈ b ɾ a ɾ s e,e n k u m b ɾ A ɾ s e
encumbremos,e ŋ k u m ˈ b ɾ e m o s,e ŋ k u m b ɾ E m o s
encurdarse,e ŋ k u ɾ ˈ ð a ɾ s e,e ŋ k u ɾ ð A ɾ s e
encurdelado,e ŋ k u ɾ ð e ˈ l a ð o,e ŋ k u ɾ ð e l A ð o
encurdelarse,e ŋ k u ɾ ð e ˈ l a ɾ s e,e ŋ k u ɾ ð e l A ɾ s e
encureñando,ˈ a n̪ d o,A n̪ d o
encáustica,e ŋ k ˈ a u s t i c a,e ŋ k A u s t i c a
encéfalo,e n ˈ θ e f a l o,e n θ E f a l o
encía,e n ˈ θ i a,e n θ I a
endarterectomía,e n d a ɾ t e ɾ e k t o ˈ m i a,e n d a ɾ t e ɾ e k t o m I a
ende,ˈ e n d e,E n d e
endebilísima,e n̪ d e β i ˈ l i s i m a,e n̪ d e β i l I s i m a
endebilísimas,e n̪ d e β i ˈ l i s i m a s,e n̪ d e β i l I s i m a s
endebilísimo,ˌ e n̪ d e β i ˈ l i s i m o,ˌ e n̪ d e β i l I s i m o
endebilísimos,e n̪ d e β i ˈ l i s i m o s,e n̪ d e β i l I s i m o s
endeble,e n̪ ˈ d e β l e,e n̪ d E β l e
endebleces,e n̪ d e ˈ β l e θ e s,e n̪ d e β l E θ e s
endebleces,e n̪ d e ˈ b l e s e s,e n̪ d e b l E s e s
endebles,e n̪ ˈ d e β l e s,e n̪ d E β l e s
endeblez,e n̪ d e ˈ b l e s,e n̪ d e b l E s
endeblez,e n̪ d e ˈ β l e θ,e n̪ d e β l E θ
endeblísimo,ˌ e n̪ d e ˈ β l i s i m o,ˌ e n̪ d e β l I s i m o
endecágono,e n̪ d e ˈ k a ɤ o n o,e n̪ d e k A ɤ o n o
endenantes,e n d e ˈ n a n t e s,e n d e n A n t e s
endentando,ˈ a n̪ d o,A n̪ d o
endentecer,e n̪ d e n̪ t e ˈ s e ɾ,e n̪ d e n̪ t e s E ɾ
endentecer,e n̪ d e n̪ t e ˈ θ e ɾ,e n̪ d e n̪ t e θ E ɾ
endieciochado,e n d j e s j o ˈ t ʃ a ð o,e n d j e s j o t ʃ A ð o
endilgando,ˈ a n̪ d o,A n̪ d o
endilgá,e n̪ d i l ˈ ɣ a,e n̪ d i l ɣ A
endiosar,e n̪ d j o ˈ s a ɾ,e n̪ d j o s A ɾ
endiosarse,e n̪ d j o ˈ s a ɾ s e,e n̪ d j o s A ɾ s e
endiñando,ˈ a n̪ d o,A n̪ d o
endo-,ˈ e n d o,E n d o
endocardio,e n d o ˈ k a ɾ ð j o,e n d o k A ɾ ð j o
endocarpio,e n d o ˈ k a ɾ p j o,e n d o k A ɾ p j o
endocrino,e n d o ˈ k ɾ i n o,e n d o k ɾ I n o
endodoncia,e n̪ d o ˈ d o n s j a,e n̪ d o d O n s j a
endodoncia,e n̪ d o ˈ d o n̪ θ j a,e n̪ d o d O n̪ θ j a
endofagia,e n d o ˈ f a x j a,e n d o f A x j a
endoparásita,e n̪ d o p a ˈ ɾ a s i t a,e n̪ d o p a ɾ A s i t a
endoparásitas,e n̪ d o p a ˈ ɾ a s i t a s,e n̪ d o p a ɾ A s i t a s
endoparásito,e n̪ d o p a ˈ ɾ a s i t o,e n̪ d o p a ɾ A s i t o
endoparásitos,e n̪ d o p a ˈ ɾ a s i t o s,e n̪ d o p a ɾ A s i t o s
endoplasma,e n d o ˈ p l a s m a,e n d o p l A s m a
endoplasmático,e n d o p l a s ˈ m a t i k o,e n d o p l a s m A t i k o
endosando,ˈ a n̪ d o,A n̪ d o
endosar,e n ð o ˈ s a ɾ,e n ð o s A ɾ
endémico,e n ˈ d e m i k o,e n d E m i k o
ene,ˈ e n e,E n e
eneagonal,e n e a ɣ o ˈ n a l,e n e a ɣ o n A l
eneasílabo,e n e a ˈ s i l a β o,e n e a s I l a β o
enebro,e ˈ n e b r o,e n E b r o
enema,e ˈ n e m a,e n E m a
enemas,e ˈ n e m a s,e n E m a s
enemistad,e n e m i s ˈ t a ð,e n e m i s t A ð
enemistades,e n e m i s ˈ t a ð e s,e n e m i s t A ð e s
enemistar,e n e m i s ˈ t a ɾ,e n e m i s t A ɾ
enemistarse,e n e m i s ˈ t a ɾ s e,e n e m i s t A ɾ s e
energía,e n e ɾ ˈ x i a,e n e ɾ x I a
energúmena,e n e ɾ ˈ ɣ u m e n a,e n e ɾ ɣ U m e n a
energúmenas,e n e ɾ ˈ ɣ u m e n a s,e n e ɾ ɣ U m e n a s
energúmeno,e n e ɾ ˈ ɣ u m e n o,e n e ɾ ɣ U m e n o
energúmenos,e n e ɾ ˈ ɣ u m e n o s,e n e ɾ ɣ U m e n o s
enero,e ˈ n e ɾ o,e n E ɾ o
eneros,e ˈ n e ɾ o s,e n E ɾ o s
enescando,ˈ a n̪ d o,A n̪ d o
eneágono,e n e ˈ a ɣ o̞ n o̞,e n e A ɣ o̞ n o̞
enfado,e n ˈ f a ð o,e n f A ð o
enfados,e n ˈ f a ð o s,e n f A ð o s
enfadosamente,e n f a ð o s a ˈ m e n̪ t e,e n f a ð o s a m E n̪ t e
enfatizando,ˈ a n̪ d o,A n̪ d o
enfatizar,e n f a t i ˈ θ a ɾ,e n f a t i θ A ɾ
enfebrecer,e ɱ f e β ɾ e ˈ s e ɾ,e ɱ f e β ɾ e s E ɾ
enfebrecer,e ɱ f e β ɾ e ˈ θ e ɾ,e ɱ f e β ɾ e θ E ɾ
enfermando,ˈ a n̪ d o,A n̪ d o
enfermar,e n f e ɾ ˈ m a ɾ,e n f e ɾ m A ɾ
enfermedad,e ɱ f e ɾ m e ˈ ð a ð,e ɱ f e ɾ m e ð A ð
enfermero,e ɱ f e r ˈ m e ɾ o,e ɱ f e r m E ɾ o
enfermería,e n f e ɾ m e ˈ ɾ i a,e n f e ɾ m e ɾ I a
enfermo,e ɱ ˈ f e ɾ m o,e ɱ f E ɾ m o
enfermé,e ɱ f e ɾ ˈ m e,e ɱ f e ɾ m E
enfermísima,e ɱ f e ɾ ˈ m i s i m a,e ɱ f e ɾ m I s i m a
enfermísimas,e ɱ f e ɾ ˈ m i s i m a s,e ɱ f e ɾ m I s i m a s
enfermísimo,e ɱ f e ɾ ˈ m i s i m o,e ɱ f e ɾ m I s i m o
enfermísimos,e ɱ f e ɾ ˈ m i s i m o s,e ɱ f e ɾ m I s i m o s
enfervorecer,e ɱ f e ɾ β o ɾ e ˈ θ e ɾ,e ɱ f e ɾ β o ɾ e θ E ɾ
enfervorecer,e ɱ f e ɾ β o ɾ e ˈ s e ɾ,e ɱ f e ɾ β o ɾ e s E ɾ
enfervorizaban,e ɱ f e ɾ β o ɾ i ˈ θ a β a n,e ɱ f e ɾ β o ɾ i θ A β a n
enfervorizaban,e ɱ f e ɾ β o ɾ i ˈ s a β a n,e ɱ f e ɾ β o ɾ i s A β a n
enfervorizar,e ɱ f e ɾ β o ɾ i ˈ θ a ɾ,e ɱ f e ɾ β o ɾ i θ A ɾ
enfervorizar,e ɱ f e ɾ β o ɾ i ˈ s a ɾ,e ɱ f e ɾ β o ɾ i s A ɾ
enfielase,e ɱ f j e ˈ l a s e,e ɱ f j e l A s e
enfiestando,ˈ a n̪ d o,A n̪ d o
enfisema,e n f i ˈ s e m a,e n f i s E m a
enflacando,ˈ a n̪ d o,A n̪ d o
enflacar,e n f l a ˈ k a ɾ,e n f l a k A ɾ
enflacarse,e n f l a ˈ k a ɾ s e,e n f l a k A ɾ s e
enflaquecer,e ɱ f l a k e ˈ s e ɾ,e ɱ f l a k e s E ɾ
enflaquecer,e ɱ f l a k e ˈ θ e ɾ,e ɱ f l a k e θ E ɾ
enflaquecerse,e ɱ f l a k e ˈ θ e ɾ s e,e ɱ f l a k e θ E ɾ s e
enflaquecerse,e ɱ f l a k e ˈ s e ɾ s e,e ɱ f l a k e s E ɾ s e
enflaquecimiento,e ɱ f l a k e θ i ˈ m j e n̪ t o,e ɱ f l a k e θ i m j E n̪ t o
enflaquecimiento,e ɱ f l a k e s i ˈ m j e n̪ t o,e ɱ f l a k e s i m j E n̪ t o
enflaquecimientos,e ɱ f l a k e θ i ˈ m j e n̪ t o s,e ɱ f l a k e θ i m j E n̪ t o s
enflaquecimientos,e ɱ f l a k e s i ˈ m j e n̪ t o s,e ɱ f l a k e s i m j E n̪ t o s
enflechaste,e ɱ f l e ˈ t ʃ a s t e,e ɱ f l e t ʃ A s t e
enflorar,e ɱ f l o ˈ ɾ a ɾ,e ɱ f l o ɾ A ɾ
enflorecer,e ɱ f l o ɾ e ˈ θ e ɾ,e ɱ f l o ɾ e θ E ɾ
enflorecer,e ɱ f l o ɾ e ˈ s e ɾ,e ɱ f l o ɾ e s E ɾ
enfocando,ˈ a n̪ d o,A n̪ d o
enfocar,e m f o ˈ k a ɾ,e m f o k A ɾ
enfocarse,e m f o ˈ k a ɾ s e,e m f o k A ɾ s e
enfoques,e m ˈ f o k e s,e m f O k e s
enfortecer,e ɱ f o ɾ t e ˈ s e ɾ,e ɱ f o ɾ t e s E ɾ
enfortecer,e ɱ f o ɾ t e ˈ θ e ɾ,e ɱ f o ɾ t e θ E ɾ
enfoscando,ˈ a n̪ d o,A n̪ d o
enfoscar,e n f o s ˈ k a ɾ,e n f o s k A ɾ
enfoscarse,e ɱ f o s ˈ k a ɾ s e,e ɱ f o s k A ɾ s e
enfranquecer,e ɱ f ɾ a ŋ k e ˈ θ e ɾ,e ɱ f ɾ a ŋ k e θ E ɾ
enfranquecer,e ɱ f ɾ a ŋ k e ˈ s e ɾ,e ɱ f ɾ a ŋ k e s E ɾ
enfrenando,ˈ a n̪ d o,A n̪ d o
enfrenar,e n f ɾ e ˈ n a ɾ,e n f ɾ e n A ɾ
enfrenarse,e n f ɾ e ˈ n a ɾ s e,e n f ɾ e n A ɾ s e
enfrentamiento,e n f ɾ e n t a ˈ m j e n t o,e n f ɾ e n t a m j E n t o
enfrentando,ˈ a n̪ d o,A n̪ d o
enfrentar,e n f ɾ e n ˈ t a ɾ,e n f ɾ e n t A ɾ
enfrentarse,e n f ɾ e n ˈ t a ɾ s e,e n f ɾ e n t A ɾ s e
enfriadera,e n f ɾ i a ˈ ð e ɾ a,e n f ɾ i a ð E ɾ a
enfriadero,e n f ɾ i a ˈ ð e ɾ o,e n f ɾ i a ð E ɾ o
enfriador,e n f ɾ i a ˈ ð o ɾ,e n f ɾ i a ð O ɾ
enfriamiento,e n f ɾ i a ˈ m j e n t o,e n f ɾ i a m j E n t o
enfriando,ˈ a n̪ d o,A n̪ d o
enfriar,e n f ɾ i ˈ a ɾ,e n f ɾ i A ɾ
enfriarse,e n f ɾ i ˈ a ɾ s e,e n f ɾ i A ɾ s e
enfrontilares,e ɱ f ɾ o n̪ t i ˈ l a ɾ e s,e ɱ f ɾ o n̪ t i l A ɾ e s
enfríate,e ɱ ˈ f ɾ i a t e,e ɱ f ɾ I a t e
enfundado,e ɱ f u n̪ ˈ d a ð o,e ɱ f u n̪ d A ð o
enfurecer,e ɱ f u ɾ e ˈ s e ɾ,e ɱ f u ɾ e s E ɾ
enfurecer,e ɱ f u ɾ e ˈ θ e ɾ,e ɱ f u ɾ e θ E ɾ
enfurecerse,e ɱ f u ɾ e ˈ s e ɾ s e,e ɱ f u ɾ e s E ɾ s e
enfurecerse,e ɱ f u ɾ e ˈ θ e ɾ s e,e ɱ f u ɾ e θ E ɾ s e
enfuriar,e ɱ f u ˈ ɾ j a ɾ,e ɱ f u ɾ j A ɾ
enfuriarse,e ɱ f u ˈ ɾ j a ɾ s e,e ɱ f u ɾ j A ɾ s e
enfurrusquen,e ɱ f u ˈ r u s k e n,e ɱ f u r U s k e n
enfuñadas,e ɱ f u ˈ ɲ a ð a s,e ɱ f u ɲ A ð a s
enfático,e ɱ ˈ f a t i k o,e ɱ f A t i k o
engalladura,e ŋ g a ʝ a ˈ ð u ɾ a,e ŋ g a ʝ a ð U ɾ a
engalladura,e ŋ g a ʎ a ˈ ð u ɾ a,e ŋ g a ʎ a ð U ɾ a
engalladuras,e ŋ g a ʝ a ˈ ð u ɾ a s,e ŋ g a ʝ a ð U ɾ a s
engalladuras,e ŋ g a ʎ a ˈ ð u ɾ a s,e ŋ g a ʎ a ð U ɾ a s
engallaremos,e ŋ ɡ a ʝ a ˈ ɾ e m o s,e ŋ ɡ a ʝ a ɾ E m o s
engallaremos,e ŋ ɡ a ʎ a ˈ ɾ e m o s,e ŋ ɡ a ʎ a ɾ E m o s
engallá,e ŋ g a ˈ ʎ a,e ŋ g a ʎ A
engallá,e ŋ g a ˈ ʝ a,e ŋ g a ʝ A
enganchando,ˈ a n̪ d o,A n̪ d o
enganchate,e ŋ g a ɲ ˈ t ʃ a t e,e ŋ g a ɲ t ʃ A t e
engaritados,e ŋ ɡ a ɾ i ˈ t a ð o s,e ŋ ɡ a ɾ i t A ð o s
engarmar,e ŋ g a ɾ ˈ m a ɾ,e ŋ g a ɾ m A ɾ
engarrafarán,e ŋ g a r a f a ˈ ɾ a n,e ŋ g a r a f a ɾ A n
engarzando,ˈ a n̪ d o,A n̪ d o
engarzar,e n g a ɾ ˈ s a ɾ,e n g a ɾ s A ɾ
engarzar,e n g a ɾ ˈ θ a ɾ,e n g a ɾ θ A ɾ
engastando,ˈ a n̪ d o,A n̪ d o
engastar,e ŋ g a s ˈ t a ɾ,e ŋ g a s t A ɾ
engauchando,ˈ a n̪ d o,A n̪ d o
engavillar,e ŋ g a β i ˈ ʝ a ɾ,e ŋ g a β i ʝ A ɾ
engavillar,e ŋ g a β i ˈ ʎ a ɾ,e ŋ g a β i ʎ A ɾ
engazando,ˈ a n̪ d o,A n̪ d o
engazar,e ŋ ɣ a ˈ θ a ɾ,e ŋ ɣ a θ A ɾ
engazar,e ŋ ɣ a ˈ s a ɾ,e ŋ ɣ a s A ɾ
engañando,ˈ a n̪ d o,A n̪ d o
engañapichanga,e ŋ ˌ g a ɲ a p i ˈ t ʃ a ŋ g a,e ŋ ˌ g a ɲ a p i t ʃ A ŋ g a
engañapichangas,e ŋ ˌ g a ɲ a p i ˈ t ʃ a ŋ g a s,e ŋ ˌ g a ɲ a p i t ʃ A ŋ g a s
engañar,e ŋ g a ˈ ɲ a ɾ,e ŋ g a ɲ A ɾ
engañaren,e ŋ ɡ a ˈ ɲ a ɾ e n,e ŋ ɡ a ɲ A ɾ e n
engañarse,e ŋ g a ˈ ɲ a ɾ s e,e ŋ g a ɲ A ɾ s e
engañito,e ŋ g a ˈ ɲ i t o,e ŋ g a ɲ I t o
engañoso,e ŋ ɡ a ˈ ɲ o s o,e ŋ ɡ a ɲ O s o
engañosísima,e ŋ g a ɲ o ˈ s i s i m a,e ŋ g a ɲ o s I s i m a
engañosísimas,e ŋ g a ɲ o ˈ s i s i m a s,e ŋ g a ɲ o s I s i m a s
engañosísimo,e ŋ g a ɲ o ˈ s i s i m o,e ŋ g a ɲ o s I s i m o
engañosísimos,e ŋ g a ɲ o ˈ s i s i m o s,e ŋ g a ɲ o s I s i m o s
engendrar,e n x e n̪ ˈ ð ɾ a ɾ,e n x e n̪ ð ɾ A ɾ
engerir,e ŋ x e ˈ ɾ i ɾ,e ŋ x e ɾ I ɾ
engiriendo,e ŋ x i ˈ ɾ j e n̪ d o,e ŋ x i ɾ j E n̪ d o
engolfando,ˈ a n̪ d o,A n̪ d o
engolletaren,e ŋ ɡ o ʎ e ˈ t a ɾ e n,e ŋ ɡ o ʎ e t A ɾ e n
engolletaren,e ŋ ɡ o ʝ e ˈ t a ɾ e n,e ŋ ɡ o ʝ e t A ɾ e n
engolliparon,e ŋ ɡ o ʎ i ˈ p a ɾ o n,e ŋ ɡ o ʎ i p A ɾ o n
engolliparon,e ŋ ɡ o ʝ i ˈ p a ɾ o n,e ŋ ɡ o ʝ i p A ɾ o n
engolliparse,e ŋ g o ʎ i ˈ p a ɾ s e,e ŋ g o ʎ i p A ɾ s e
engolliparse,e ŋ g o ʝ i ˈ p a ɾ s e,e ŋ g o ʝ i p A ɾ s e
engordando,ˈ a n̪ d o,A n̪ d o
engordases,e ŋ ɡ o ɾ ˈ ð a s e s,e ŋ ɡ o ɾ ð A s e s
engordeciendo,ˈ j e n̪ d o,j E n̪ d o
engorrarse,e ŋ ɣ o ˈ r a ɾ s e,e ŋ ɣ o r A ɾ s e
engorros,e ŋ ˈ g o r o s,e ŋ g O r o s
engorrosamente,e ŋ g o ˈ r o s a ˈ m e n̪ t e,e ŋ g o r O s a m E n̪ t e
engorrosísima,e ŋ g o r o ˈ s i s i m a,e ŋ g o r o s I s i m a
engorrosísimas,e ŋ g o r o ˈ s i s i m a s,e ŋ g o r o s I s i m a s
engorrosísimo,e ŋ g o r o ˈ s i s i m o,e ŋ g o r o s I s i m o
engorrosísimos,e ŋ g o r o ˈ s i s i m o s,e ŋ g o r o s I s i m o s
engrampa,e ŋ ˈ ɡ ɾ a m p a,e ŋ ɡ ɾ A m p a
engranaje,e ŋ g ɾ a ˈ n a x e,e ŋ g ɾ a n A x e
engranando,ˈ a n̪ d o,A n̪ d o
engranar,e ŋ g ɾ a ˈ n a ɾ,e ŋ g ɾ a n A ɾ
engrandar,e ŋ g ɾ a n̪ ˈ d a ɾ,e ŋ g ɾ a n̪ d A ɾ
engrandecer,e ŋ g ɾ a n̪ d e ˈ s e ɾ,e ŋ g ɾ a n̪ d e s E ɾ
engrandecer,e ŋ g ɾ a n̪ d e ˈ θ e ɾ,e ŋ g ɾ a n̪ d e θ E ɾ
engranujarse,e ŋ ɣ ɾ a n u ˈ x a ɾ s e,e ŋ ɣ ɾ a n u x A ɾ s e
engrapando,ˈ a n̪ d o,A n̪ d o
engraparéis,e ŋ g ɾ a p a ˈ ɾ e j s,e ŋ g ɾ a p a ɾ E j s
engrasando,ˈ a n̪ d o,A n̪ d o
engravecer,e ŋ g ɾ a β e ˈ s e ɾ,e ŋ g ɾ a β e s E ɾ
engravecer,e ŋ g ɾ a β e ˈ θ e ɾ,e ŋ g ɾ a β e θ E ɾ
engredando,ˈ a n̪ d o,A n̪ d o
engrescando,ˈ a n̪ d o,A n̪ d o
engrescar,e ŋ g ɾ e s ˈ k a ɾ,e ŋ g ɾ e s k A ɾ
engreído,e ŋ g ɾ e ˈ i ð o,e ŋ g ɾ e I ð o
engriendo,e ŋ ˈ g ɾ j e n̪ d o,e ŋ g ɾ j E n̪ d o
engrifando,ˈ a n̪ d o,A n̪ d o
engrifes,e ŋ ˈ g ɾ i f e s,e ŋ g ɾ I f e s
engrosando,ˈ a n̪ d o,A n̪ d o
engrosar,e ŋ ɣ ɾ o ˈ s a ɾ,e ŋ ɣ ɾ o s A ɾ
engrosecer,e n g ɾ o s e ˈ θ e ɾ,e n g ɾ o s e θ E ɾ
engrosecer,e n g ɾ o s e ˈ s e ɾ,e n g ɾ o s e s E ɾ
engroseciendo,ˈ j e n̪ d o,j E n̪ d o
engrudo,e ŋ ˈ g ɾ u ð o,e ŋ g ɾ U ð o
engrupiendo,ˈ j e n̪ d o,j E n̪ d o
engrupir,e ŋ g ɾ u ˈ p i ɾ,e ŋ g ɾ u p I ɾ
engualdrapar,e ŋ g w a l ð ɾ a ˈ p a ɾ,e ŋ g w a l ð ɾ a p A ɾ
engualichar,e ŋ g w a l i ˈ t͡ ʃ a ɾ,e ŋ g w a l i t͡ ʃ A ɾ
enguatado,e ŋ ɣ w a ˈ t a ð o,e ŋ ɣ w a t A ð o
enguatando,ˈ a n̪ d o,A n̪ d o
enguatar,e ŋ ɣ w a ˈ t a ɾ,e ŋ ɣ w a t A ɾ
enguatarse,e ŋ ɣ w a ˈ t a ɾ s e,e ŋ ɣ w a t A ɾ s e
enguirnaldásemos,e ŋ ɡ i ɾ n a l ˈ d a s e m o s,e ŋ ɡ i ɾ n a l d A s e m o s
engullendo,ˌ e ŋ ɣ u ˈ ʝ e n̪ d o,ˌ e ŋ ɣ u ʝ E n̪ d o
engullendo,ˌ e ŋ ɣ u ˈ ʎ e n̪ d o,ˌ e ŋ ɣ u ʎ E n̪ d o
engurrar,e ŋ g u ˈ r a ɾ,e ŋ g u r A ɾ
engurras,e ŋ ˈ g u r a s,e ŋ g U r a s
engurriada,e ŋ g u ˈ r j a ð a,e ŋ g u r j A ð a
engurriadas,e ŋ g u ˈ r j a ð a s,e ŋ g u r j A ð a s
engurriado,e ŋ g u ˈ r j a ð o,e ŋ g u r j A ð o
engurriados,e ŋ g u ˈ r j a ð o s,e ŋ g u r j A ð o s
engurrio,e ŋ ˈ g u r j o,e ŋ g U r j o
engurruminar,e ŋ g u r u m i ˈ n a ɾ,e ŋ g u r u m i n A ɾ
engurrumir,e ŋ g u r u ˈ m i ɾ,e ŋ g u r u m I ɾ
engurrumirán,e ŋ g u r u m i ˈ ɾ a n,e ŋ g u r u m i ɾ A n
engurruñar,e ŋ g u r u ˈ ɲ a ɾ,e ŋ g u r u ɲ A ɾ
engurruñarse,e ŋ g u r u ˈ ɲ a ɾ s e,e ŋ g u r u ɲ A ɾ s e
engurruñir,e ŋ g u r u ˈ ɲ i ɾ,e ŋ g u r u ɲ I ɾ
engurruñándose,e ŋ g u r u ˈ ɲ a n̪ d o s e,e ŋ g u r u ɲ A n̪ d o s e
engusgarse,e ŋ g u s ˈ ɣ a ɾ s e,e ŋ g u s ɣ A ɾ s e
engüerases,e ŋ g w e ˈ ɾ a s e s,e ŋ g w e ɾ A s e s
enhiesta,e ɲ ˈ j e s t a,e ɲ j E s t a
enhiestas,e ɲ ˈ j e s t a s,e ɲ j E s t a s
enhiestos,e ɲ ˈ j e s t o s,e ɲ j E s t o s
enhuinchado,e n g w i n ˈ t ʃ a ð o,e n g w i n t ʃ A ð o
enhuinchando,ˈ a n̪ d o,A n̪ d o
enhuinchar,e n g w i n ˈ t ʃ a ɾ,e n g w i n t ʃ A ɾ
enigma,e ˈ n i ɡ m a,e n I ɡ m a
enigmas,e ˈ n i ɣ m a s,e n I ɣ m a s
enjalbegando,ˈ a n̪ d o,A n̪ d o
enjambrada,e ŋ x a m ˈ b ɾ a ð a,e ŋ x a m b ɾ A ð a
enjambradas,e ŋ x a m ˈ b ɾ a ð a s,e ŋ x a m b ɾ A ð a s
enjambrado,e ŋ x a m ˈ b ɾ a ð o,e ŋ x a m b ɾ A ð o
enjambrados,e ŋ x a m ˈ b ɾ a ð o s,e ŋ x a m b ɾ A ð o s
enjambrar,e ŋ x a m ˈ b ɾ a ɾ,e ŋ x a m b ɾ A ɾ
enjambres,e ŋ ˈ x a m b ɾ e s,e ŋ x A m b ɾ e s
enjarciad,e ŋ x a ɾ ˈ s j a ð,e ŋ x a ɾ s j A ð
enjarciad,e ŋ x a ɾ ˈ θ j a ð,e ŋ x a ɾ θ j A ð
enjardar,e ŋ x a ɾ ˈ ð a ɾ,e ŋ x a ɾ ð A ɾ
enjaulando,ˈ a n̪ d o,A n̪ d o
enjetando,e ŋ x e ˈ t a n̪ d o,e ŋ x e t A n̪ d o
enjetar,e ŋ x e ˈ t a ɾ,e ŋ x e t A ɾ
enjetarse,e ŋ x e ˈ t a ɾ s e,e ŋ x e t A ɾ s e
enjugando,ˈ a n̪ d o,A n̪ d o
enjugar,e ɳ x u ˈ ɣ a ɾ,e ɳ x u ɣ A ɾ
enjugarse,e ɳ x u ˈ ɣ a ɾ s e,e ɳ x u ɣ A ɾ s e
enjugáremos,e ŋ x u ˈ ɣ a ɾ e m o s,e ŋ x u ɣ A ɾ e m o s
enjuiciando,ˈ a n̪ d o,A n̪ d o
enjulio,e n ˈ x u l j o,e n x U l j o
enjuncando,ˈ a n̪ d o,A n̪ d o
enjuncar,e ŋ x u ŋ ˈ k a ɾ,e ŋ x u ŋ k A ɾ
enjundia,e n ˈ x u n d j a,e n x U n d j a
enjutando,ˈ a n̪ d o,A n̪ d o
enjuto,e ŋ ˈ x u t o,e ŋ x U t o
enlaces,e n ˈ l a s e s,e n l A s e s
enlaces,e n ˈ l a θ e s,e n l A θ e s
enladrillando,ˈ a n̪ d o,A n̪ d o
enlentecer,e n l e n̪ t e ˈ s e ɾ,e n l e n̪ t e s E ɾ
enlentecer,e n l e n̪ t e ˈ θ e ɾ,e n l e n̪ t e θ E ɾ
enlentecerse,e n l e n̪ t e ˈ θ e ɾ s e,e n l e n̪ t e θ E ɾ s e
enlentecerse,e n l e n̪ t e ˈ s e ɾ s e,e n l e n̪ t e s E ɾ s e
enlentecida,e n l e n̪ t e ˈ θ i ð a,e n l e n̪ t e θ I ð a
enlentecida,e n l e n̪ t e ˈ s i ð a,e n l e n̪ t e s I ð a
enlentecidas,e n l e n̪ t e ˈ s i ð a s,e n l e n̪ t e s I ð a s
enlentecidas,e n l e n̪ t e ˈ θ i ð a s,e n l e n̪ t e θ I ð a s
enlentecido,e n l e n̪ t e ˈ θ i ð o,e n l e n̪ t e θ I ð o
enlentecido,e n l e n̪ t e ˈ s i ð o,e n l e n̪ t e s I ð o
enlentecidos,e n l e n̪ t e ˈ θ i ð o s,e n l e n̪ t e θ I ð o s
enlentecidos,e n l e n̪ t e ˈ s i ð o s,e n l e n̪ t e s I ð o s
enlenteciendo,ˈ j e n̪ d o,j E n̪ d o
enlentecimiento,e n l e n̪ t e θ i ˈ m j e n̪ t o,e n l e n̪ t e θ i m j E n̪ t o
enlentecimiento,e n l e n̪ t e s i m i e n̪ t o,e n l e n̪ t e s i m i e n̪ t o
enlentecimientos,e n l e n̪ t e s i m i e n̪ t o s,e n l e n̪ t e s i m i e n̪ t o s
enlentecimientos,e n l e n̪ t e θ i ˈ m j e n̪ t o s,e n l e n̪ t e θ i m j E n̪ t o s
enlistasen,e n l i s ˈ t a s e n,e n l i s t A s e n
enlistonando,ˈ a n̪ d o,A n̪ d o
enllentecer,e n ʝ e n̪ t e ˈ s e ɾ,e n ʝ e n̪ t e s E ɾ
